Suite,Function,Run,PCOA,MPCOA,PSO,GWO,WOA,SCA,HHO,AOA,AO
cec2014,CEC2014 F1,0,5641455.232092894,15275045.303017639,86058.92286745974,9656131.585415976,11667.117228640805,1496741.8483227415,2022196.0415287407,301010795.3593359,323337604.73517126
cec2014,CEC2014 F1,1,4563942.580722678,10840741.545339186,9239.226457209403,2804384.176070642,43175.56307161054,1214476.589285167,1050804.248061333,1098255805.7646854,91345147.31194498
cec2014,CEC2014 F1,2,5544950.734482389,11391916.94886224,2532.0418149175257,3554239.5059982133,102191.06589365995,723776.4212044486,849829.1264682097,764580687.252363,89105461.68598756
cec2014,CEC2014 F1,3,1002863.8422892009,14911338.706142059,3234.5968644276595,793179.3671288984,2729593.8321600123,188503.53350638942,307289.9038726204,726057949.4302193,58335320.262874536
cec2014,CEC2014 F1,4,8900137.038769187,5517748.249636505,5754.536092973038,369377.30784097227,2424132.507675791,1123183.3463911554,1561672.501964393,1113348120.737801,120439085.99159311
cec2014,CEC2014 F1,5,929237.3686505324,4742331.823790369,1244.7407243760488,3140057.502835106,266753.7974366793,1357125.0177280337,2688345.9078047127,327917468.60730654,80283544.63092855
cec2014,CEC2014 F1,6,3043006.236467948,8853664.897192845,2184.395411307637,253971.51511599857,33015095.194742545,1184938.709574178,497374.99699346203,50973458.246027716,128242538.14538206
cec2014,CEC2014 F1,7,4571888.194037654,5303616.682697519,5088.053084476779,1929701.300630335,464465.4303542401,250368.65688489762,111177.2319656674,268315453.90158358,248178133.7312685
cec2014,CEC2014 F1,8,6253231.441411918,9161853.71129392,2233.7775768469332,1849622.0922651407,1882856.1605902328,3884099.877808554,626640.9063865691,327033054.15934235,104735831.44896984
cec2014,CEC2014 F1,9,917408.1803751946,10599207.051158955,5495.654337062861,86814.29164786793,1895447.3003064946,2937648.4815368364,1278541.9748232346,375190329.8807138,739261455.7075686
cec2014,CEC2014 F1,10,4509634.222506483,12159100.663519708,81253.23993518816,951300.2730688569,174141.9023948902,1170352.1788791113,12289136.57881046,138897912.7647654,315115789.75299305
cec2014,CEC2014 F1,11,2822154.506373383,5623429.133738475,119007.01827609731,682196.5307598084,198690.71467628155,480558.1948368539,1642820.2269652318,850337007.0383584,325612151.37853634
cec2014,CEC2014 F1,12,2733965.971469994,8741439.544883331,2650.54134228506,6862118.829855432,35941.658235852185,217365.18079519394,1145804.8760265543,157162431.78563714,144446686.9650969
cec2014,CEC2014 F1,13,3592357.0793433757,14739423.122832647,43340.282050965536,3218456.013286026,167477.8222232162,216041.49470414763,839125.1507595275,61200404.21112146,67042467.03841088
cec2014,CEC2014 F1,14,7433205.759909381,6878990.8259214945,55964.954559807695,161821.36561906146,373850.22929536406,665856.1194230327,533102.7255670282,150799749.12865108,22683702.30353685
cec2014,CEC2014 F1,15,4456263.60219388,13524599.087320393,17134.926256787654,1111713.390954612,33281353.445248716,1017582.7092754008,1541397.8130315936,453359806.86524534,417470218.5180996
cec2014,CEC2014 F1,16,3233682.144940524,13145793.649821902,10156.357610876197,5424770.04606693,356298.6425472873,476720.32534891966,3018815.443399359,447529164.3788809,155584482.94715548
cec2014,CEC2014 F1,17,3518439.1885868544,9867140.912404407,122973.47485451262,190779.9110410394,33255312.465328056,289887.9920695985,1176130.7600033616,160397826.2050182,132310175.12070286
cec2014,CEC2014 F1,18,7101526.976325975,16100216.429117674,57516.66384307416,393418.2176724452,2202229.1657327986,1238626.4483722723,13871550.507199513,247442145.4352683,32577362.649956115
cec2014,CEC2014 F1,19,9380427.869885366,15068335.553578505,7937.881784485743,1870467.2427696039,185534.5561438258,429038.0823244678,4103723.853421218,135240472.1061636,109371822.90222625
cec2014,CEC2014 F1,20,8218885.940507511,14306997.65750236,5566.6879903256695,95833.15608825079,2723469.3421568763,434322.88351336675,2542025.7703042505,1766159836.6750095,507562850.2410536
cec2014,CEC2014 F1,21,1313678.1795365838,10165126.500140836,8997.64803060492,844488.8080504221,32544873.368978184,147960.02308715208,715275.844832052,316537770.9722839,98269977.50223999
cec2014,CEC2014 F1,22,1732173.5189645437,9649911.611226603,3738.027309393173,1435898.7713545195,33255312.46531653,620067.93918254,167959.085971153,322320804.8245301,94730634.58202848
cec2014,CEC2014 F1,23,2442484.8637192585,16511346.044372117,77218.66230659121,170228.60117467956,39654.40432985567,294045.1162352211,1300016.9440424403,87897093.8521639,541990467.4723998
cec2014,CEC2014 F1,24,1547942.4493567962,12069990.618685791,1480.0178235193332,2048713.6152061825,581176.5509185428,484013.5233793883,4001114.1706230673,125519905.17439568,187822720.74863264
cec2014,CEC2014 F1,25,3025103.71104231,20959320.93263461,22681.091522942603,1251825.418491512,69443.08483778808,362731.3149406883,638370.9556195557,222120177.97505057,104471052.89441022
cec2014,CEC2014 F1,26,12154403.135360043,9583832.230751371,34081.66256846169,3704272.1552401744,79663.92318236093,2958130.4054643326,1616826.977719214,27318376.15388145,75662667.29638715
cec2014,CEC2014 F1,27,5126822.145999669,6281397.960976026,766.4888132914268,231159.7807559964,52034.75847312955,328561.94415241136,10097586.817752838,135899892.21328613,112871918.40206441
cec2014,CEC2014 F1,28,7234696.668839773,20392618.32600907,3306.9130390451514,2944888.5020782226,881506.6344978426,4125849.555384181,534636.250988236,935453593.1855083,126624104.01380196
cec2014,CEC2014 F1,29,1204060.895698316,12401474.565112343,1217.3377089962598,6153893.836336299,1982738.3222474423,661366.6665153657,1199262.4774802194,756505059.6231589,61651014.669569254
cec2014,CEC2014 F2,0,81044065.68634388,194568988.02267987,411.22969869103787,3368.763999954228,12035.523112800725,517355.5077963803,27888.361500871095,14346058153.710718,6799225400.448461
cec2014,CEC2014 F2,1,68237477.2368758,63488446.78505857,649.1937204110259,4368.658170329392,12029.145994581122,426567.2174974408,76412.25784269175,9122700747.160252,9278797737.349073
cec2014,CEC2014 F2,2,39799958.14062001,117490990.91883172,459.54779755721205,1721.085775043515,1369.3333870266385,156082.96889099118,31270.74923940245,13492629198.464592,7022652193.997528
cec2014,CEC2014 F2,3,70490787.55082658,89565127.23177065,203.80914000578807,6796.401232587641,200.18685993538867,185344.14699163262,31077.161182475254,14406266830.817545,12227390326.94443
cec2014,CEC2014 F2,4,41502992.10111648,70469392.67196472,1389.1789247831248,697.7296344689752,200.00519128113677,481754.04700643156,23151.5755912943,9242197718.040054,11063823307.069103
cec2014,CEC2014 F2,5,44254707.15508443,234631472.3775394,440.2527717457118,985.5209111177412,346.2246573868365,805139.5233699563,12568.213796032984,7695709469.8908825,7014510779.556755
cec2014,CEC2014 F2,6,87243712.63262698,269528838.9589581,1032.6376315079578,1917.3996876590768,971.045392346176,954059.5825205334,25414.342971304603,8696503911.771767,12139811430.535862
cec2014,CEC2014 F2,7,104253529.63438259,206037342.12929362,1409.6972897440642,10874.82172816576,1936.7174564465938,304975.71736393584,50234.13837113807,14760032713.762623,6441574818.927464
cec2014,CEC2014 F2,8,83630416.65832941,206862742.08601815,229.9533080531849,3295.701661731103,3062.810655469087,476321.2539432942,80312.86095990874,14007502291.917244,4557912582.419575
cec2014,CEC2014 F2,9,71754406.53971365,145773728.35587683,843.0122448506754,2733.709235872115,1146.0385469230787,684725.4139414277,37409.873982964564,14228234816.816765,6383854301.553596
